Commodity Code,Commodity Name,Substance,Unit,Supply Chain Emission Factors without Margins,Margins of Supply Chain Emission Factors,Supply Chain Emission Factors with Margins,,DQ ReliabilityScore of Factors without Margins,DQ TemporalCorrelation of Factors without Margins,DQ GeographicalCorrelation of Factors without Margins,DQ TechnologicalCorrelation of Factors without Margins,DQ DataCollection of Factors without Margins
322,Paper products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0,0.007,,3,3,1,2,1
323,Printing and related support activities,carbon dioxide,"kg/2018 USD, purchaser price",0.265,0.026,0.291,,3,3,1,4,1
323,Printing and related support activities,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
323,Printing and related support activities,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
323,Printing and related support activities,other GHGs,"kg CO2e/2018 USD, purchaser price",0.005,0,0.005,,3,3,1,3,1
324,Petroleum and coal products,carbon dioxide,"kg/2018 USD, purchaser price",0.603,0.023,0.627,,4,3,1,3,1
324,Petroleum and coal products,methane,"kg/2018 USD, purchaser price",0.014,0,0.014,,4,3,1,1,1
324,Petroleum and coal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
324,Petroleum and coal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,3,1
325,Chemical products,carbon dioxide,"kg/2018 USD, purchaser price",0.277,0.017,0.294,,3,3,1,4,1
325,Chemical products,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,3,1,1,1
325,Chemical products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,2,1
325,Chemical products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0,0.02,,2,3,1,1,1
326,Plastics and rubber products,carbon dioxide,"kg/2018 USD, purchaser price",0.196,0.011,0.207,,3,3,1,3,1
326,Plastics and rubber products,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,3,1,1,1
326,Plastics and rubber products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,2,1
326,Plastics and rubber products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.014,0,0.014,,3,3,1,3,1
327,Nonmetallic mineral products,carbon dioxide,"kg/2018 USD, purchaser price",0.578,0.05,0.628,,3,3,1,2,1
327,Nonmetallic mineral products,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,3,1,1,1
327,Nonmetallic mineral products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
327,Nonmetallic mineral products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006,,3,3,1,3,1
331,Primary metals,carbon dioxide,"kg/2018 USD, purchaser price",0.081,0.003,0.083,,3,3,1,2,1
331,Primary metals,methane,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,1,1
331,Primary metals,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
331,Primary metals,other GHGs,"kg CO2e/2018 USD, purchaser price",0.039,0,0.039,,3,3,1,1,1
332,Fabricated metal products,carbon dioxide,"kg/2018 USD, purchaser price",0.34,0.02,0.36,,3,3,1,3,1
332,Fabricated metal products,methane,"kg/2018 USD, purchaser price",0.002,0,0.002,,4,3,1,1,1
332,Fabricated metal products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
332,Fabricated metal products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.014,0,0.014,,3,3,1,2,1
333,Machinery,carbon dioxide,"kg/2018 USD, purchaser price",0.249,0.024,0.273,,3,3,1,3,1
333,Machinery,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,3,1,1,1
333,Machinery,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
333,Machinery,other GHGs,"kg CO2e/2018 USD, purchaser price",0.032,0,0.032,,4,3,1,4,1
334,Computer and electronic products,carbon dioxide,"kg/2018 USD, purchaser price",0.098,0.028,0.126,,3,3,1,3,1
334,Computer and electronic products,methane,"kg/2018 USD, purchaser price",0,0,0.001,,3,3,1,1,1
334,Computer and electronic products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,2,1
334,Computer and electronic products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.017,0,0.017,,2,3,1,1,1
335,"Electrical equipment, appliances, and components",carbon dioxide,"kg/2018 USD, purchaser price",0.267,0.038,0.305,,3,3,1,3,1
335,"Electrical equipment, appliances, and components",methane,"kg/2018 USD, purchaser price",0.001,0,0.002,,4,3,1,1,1
335,"Electrical equipment, appliances, and components",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
335,"Electrical equipment, appliances, and components",other GHGs,"kg CO2e/2018 USD, purchaser price",0.015,0,0.015,,3,3,1,2,1
3361MV,"Motor vehicles, bodies and trailers, and parts",carbon dioxide,"kg/2018 USD, purchaser price",0.248,0.018,0.266,,3,3,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,3,1,1,1
3361MV,"Motor vehicles, bodies and trailers, and parts",nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
3361MV,"Motor vehicles, bodies and trailers, and parts",other GHGs,"kg CO2e/2018 USD, purchaser price",0.022,0,0.022,,4,3,1,4,1
3364OT,Other transportation equipment,carbon dioxide,"kg/2018 USD, purchaser price",0.126,0.008,0.134,,3,3,1,3,1
3364OT,Other transportation equipment,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,4,3,1,1,1
3364OT,Other transportation equipment,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
3364OT,Other transportation equipment,other GHGs,"kg CO2e/2018 USD, purchaser price",0.006,0,0.006,,3,3,1,2,1
337,Furniture and related products,carbon dioxide,"kg/2018 USD, purchaser price",0.223,0.117,0.34,,3,3,1,3,1
337,Furniture and related products,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,,3,3,1,1,1
337,Furniture and related products,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
337,Furniture and related products,other GHGs,"kg CO2e/2018 USD, purchaser price",0.02,0,0.02,,4,3,1,4,1
339,Miscellaneous manufacturing,carbon dioxide,"kg/2018 USD, purchaser price",0.206,0.087,0.294,,3,3,1,3,1
339,Miscellaneous manufacturing,methane,"kg/2018 USD, purchaser price",0.001,0.001,0.002,,3,3,1,1,1
339,Miscellaneous manufacturing,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,3,3,1,3,1
339,Miscellaneous manufacturing,other GHGs,"kg CO2e/2018 USD, purchaser price",0.007,0,0.007,,3,3,1,3,1
42,Wholesale trade,carbon dioxide,"kg/2018 USD, purchaser price",0.16,0,0.16,,3,3,1,3,1
42,Wholesale trade,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
42,Wholesale trade,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
42,Wholesale trade,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,4,1
441,Motor vehicle and parts dealers,carbon dioxide,"kg/2018 USD, purchaser price",0.128,0,0.128,,3,3,1,3,1
441,Motor vehicle and parts dealers,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
441,Motor vehicle and parts dealers,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
441,Motor vehicle and parts dealers,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,4,1
445,Food and beverage stores,carbon dioxide,"kg/2018 USD, purchaser price",0.305,0,0.305,,2,3,1,2,1
445,Food and beverage stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
445,Food and beverage stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
445,Food and beverage stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.004,0,0.004,,3,3,1,4,1
452,General merchandise stores,carbon dioxide,"kg/2018 USD, purchaser price",0.22,0,0.22,,2,3,1,2,1
452,General merchandise stores,methane,"kg/2018 USD, purchaser price",0.001,0,0.001,,3,3,1,1,1
452,General merchandise stores,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,3,1
452,General merchandise stores,other GHGs,"kg CO2e/2018 USD, purchaser price",0.003,0,0.003,,3,3,1,4,1
481,Air transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.948,0,0.948,,4,3,1,2,1
481,Air transportation,methane,"kg/2018 USD, purchaser price",0.004,0,0.004,,4,3,1,1,1
481,Air transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
481,Air transportation,other GHGs,"kg CO2e/2018 USD, purchaser price",0.002,0,0.002,,3,3,1,3,1
482,Rail transportation,carbon dioxide,"kg/2018 USD, purchaser price",0.714,0,0.714,,4,3,1,4,1
482,Rail transportation,methane,"kg/2018 USD, purchaser price",0.003,0,0.003,,4,3,1,1,1
482,Rail transportation,nitrous oxide,"kg/2018 USD, purchaser price",0,0,0,,4,3,1,4,1
